Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,1,33.0,1,1,20.525,2,0
3,1,26.0,0,0,7.8958,2,0
2,1,29.0,1,0,27.7208,0,0
3,1,31.0,0,0,7.75,1,0
1,1,25.0,1,0,91.0792,0,1
3,1,6.0,0,1,12.475,2,1
3,1,29.0,0,0,7.8958,0,1
1,1,46.0,0,0,79.2,0,0
1,0,29.0,0,0,211.3375,2,1
3,0,31.0,0,0,8.6833,2,1
2,1,25.0,1,0,26.0,2,0
3,1,25.0,0,0,7.25,2,0
3,1,32.0,0,0,8.05,2,1
2,1,25.0,0,0,13.0,2,0
1,0,24.0,0,0,69.3,0,1
3,1,21.0,0,0,7.8,2,0
1,0,58.0,0,0,146.5208,0,1
2,0,34.0,0,1,23.0,2,1
1,0,51.0,1,0,77.9583,2,1
3,1,1.0,1,2,20.575,2,1
1,1,54.0,0,0,51.8625,2,0
3,1,22.0,0,0,7.2292,0,0
3,0,36.0,1,0,17.4,2,1
1,1,45.0,0,0,35.5,2,0
3,1,19.0,0,0,0.0,2,0
3,1,59.0,0,0,7.25,2,0
3,1,35.0,0,0,8.05,2,0
3,1,44.0,0,0,7.925,2,1
3,0,30.5,0,0,7.75,1,0
2,1,48.0,0,0,13.0,2,0
1,1,34.0,0,0,26.55,2,1
2,1,28.0,0,1,33.0,2,0
3,1,28.0,0,0,7.7958,2,0
3,0,25.0,0,0,7.775,2,0
3,1,20.0,1,0,7.925,2,1
3,1,25.0,0,0,7.05,2,0
3,1,30.0,0,0,7.2292,0,0
1,0,31.0,0,2,164.8667,2,1
3,0,30.0,1,1,24.15,2,0
3,1,16.0,1,1,20.25,2,0
3,1,51.0,0,0,7.75,2,0
1,1,40.0,0,0,27.7208,0,0
3,1,21.0,0,0,7.925,2,0
3,1,9.0,1,1,15.9,2,1
3,0,15.0,0,0,8.0292,1,1
3,1,7.0,4,1,29.125,1,0
3,1,2.0,3,1,21.075,2,0
1,0,17.0,1,0,57.0,2,1
3,1,32.0,0,0,7.75,1,0
2,0,50.0,0,0,10.5,2,1
3,1,24.0,0,0,9.5,2,0
2,0,30.0,3,0,21.0,2,1
3,1,1.0,5,2,46.9,2,0
3,1,25.0,1,0,17.8,2,0
3,1,20.0,0,0,4.0125,0,0
2,1,43.0,1,1,26.25,2,0
3,1,27.0,1,0,14.4542,0,0
2,1,32.0,0,0,10.5,2,0
3,0,1.0,1,1,11.1333,2,1
1,0,16.0,0,1,57.9792,0,1
3,1,16.0,4,1,39.6875,2,0
3,1,25.0,0,0,7.225,0,0
